snid,z,mu,emu,x1,ex1,c,ec,salt3_cut,x1_des,c_des,mu_des,muerr_des,cm_mu,cm_emu,cm_mode,cm_failed,K_syst,mu_lcdm
1334084,0.13431,39.289462924432954,0.02,-0.7125036384028745,0.08332757484849647,0.08548175205310804,0.006932275665050616,,-0.913942,0.0886807,38.98171,0.19872,,,,dm15_provenance,,38.9433
1334423,0.35888,41.73394652588088,0.056154560264313154,1.0662170571130725,0.2661960419175271,0.03317368402534926,0.013567412765800858,,1.1622,0.0356783,41.40865,0.17519,41.0493,0.168,L,,0.0536,41.3464
1334620,0.1972,40.17752566236533,0.032728006133855646,-0.5245455578373597,0.1526006768306231,0.20376119989232222,0.01193408477389652,,-0.821032,0.19529,39.94861,0.18721,39.5024,0.1259,L,,0.0807,39.8609
1334654,0.30365,42.275817886526596,0.2207939952525022,0.6678488580721584,1.0068635668867005,0.3132095650691391,0.06723077184797065,c,-0.94611,0.22208,42.00282,0.33154,,,,window_empty,,40.9246
1335671,0.5248,42.66175193840134,0.08120683429333587,0.7017801298079567,0.328563695220024,-0.08175974115595563,0.018065410376373624,,0.53583,-0.0798526,42.2756,0.10059,,,L,rms_gate,,42.3263
1336150,0.34905,42.00656301648972,0.08955650826996753,-0.6053348371831158,0.43437702572699705,0.17740032882258083,0.03057754345851672,,-0.858069,0.15585,41.72694,0.25824,,,,dm15_provenance,,41.2759
1336453,0.18579,40.16003390379045,0.02,1.041224862040635,0.06790591477973984,-0.060898114829140426,0.004595753387973752,,1.22437,-0.0469055,39.8538,0.10918,39.9597,0.1382,S,,0.0856,39.7169
1336464,0.38834,41.92311200762255,0.0890460094886373,1.0577190492168524,0.41281680444693547,0.09052336800474431,0.023970596364787416,,1.23424,0.14271,41.67321,0.18763,41.4605,0.1394,S,,0.1293,41.5476
1336687,0.2348,40.589321763165906,0.021227908567448658,0.5139285446956361,0.10718635736141474,0.11609055896209941,0.008272123216198633,,0.50097,0.12473,40.15655,0.22114,40.191,0.1291,S,,0.0741,40.2866
1336975,0.11088,38.478538287700644,0.02,-0.5835350505824737,0.032416939837194306,0.0005644584871190572,0.0034415084707750984,,-0.687441,0.00361432,38.25468,0.10371,38.0049,0.1253,S,,0.0146,38.494
1337687,0.32917,41.46724890618222,0.023662148246861286,0.929892152184995,0.11763642305964497,-0.10012412251827063,0.006995246156945759,,1.09671,-0.0925713,41.13399,0.12028,41.0677,0.1263,L,,0.1471,41.1276
1339392,0.18191,39.733230440826986,0.02,-0.8963388696800614,0.05816117882108571,-0.03719154148849435,0.003944005626689093,,-1.16975,-0.0338924,39.3871,0.09708,39.2592,0.1213,L,,0.0397,39.666
1343401,0.38397,41.76227088531235,0.07996531063647108,0.9977311541247271,0.545655890817309,-0.04728077173547823,0.016342691474414937,,1.15448,-0.0252022,41.44162,0.15881,,,,too_few_nights,,41.5186
